Month,Total_Inflows,Active_Accounts,ACHoutPerActive,ACHoutShare,ACHoutQuantity,ACHoutAmount,ACHoutRate,RTPoutPerActive,RTPoutShare,RTPoutQuantity,RTPoutAmount,RTPoutRate,WireOutPerActive,WireOutShare,WireOutQuantity,WireOutAmount,WireOutRate,DebitCardTransactionsPerActive,DebitCardTransactionShare,DebitCardTransactionsQuantity,DebitCardTransactionAmount,DebitCardTransactionRate,PQ_Total_Inflows,PQ_Active_Accounts,PQ_ACHoutPerActive,PQ_ACHoutShare,PQ_ACHoutQuantity,PQ_ACHoutAmount,PQ_ACHoutRate,PQ_RTPoutPerActive,PQ_RTPoutShare,PQ_RTPoutQuantity,PQ_RTPoutAmount,PQ_RTPoutRate,PQ_WireOutPerActive,PQ_WireOutShare,PQ_WireOutQuantity,PQ_WireOutAmount,PQ_WireOutRate,PQ_DebitPerActive,PQ_DebitShare,PQ_DebitQuantity,PQ_DebitAmount,PQ_DebitRate,Delta_ACH_Share,Delta_ACH_Qty,Delta_ACH_Amt,Delta_ACH_Rate,Delta_RTP_Share,Delta_RTP_Qty,Delta_RTP_Amt,Delta_RTP_Rate,Delta_Wire_Share,Delta_Wire_Qty,Delta_Wire_Amt,Delta_Wire_Rate,Abs_Delta_Wire_Amt
50,759617800,229891,1.96,0.4025119,450586,305755204,678.5723569,0.84,0.1725051,193108,131037945,678.5733631,0.0013333,0.000242415,307,184143,599.8143322,22,0.855036414,5057602,275869383,54.54549073,759617800,229891,1.96,0.4025119,450586,305755204,678.5723569,0.84,0.1725051,193108,131037945,678.5733631,0.001333333,0.000326703,307,248169,808.3680782,22,0.855036414,5057602,275814638,54.53466643,0,0,0,1.3634E-08,0,0,0,7.84405E-09,-8.42878E-05,0,-64026,-208.553746,64026
49,752096800,227615,1.96,0.4025119,446125,302727912,678.5719518,0.84,0.1725051,191197,129740534,678.5699253,0.0013333,0.000242415,303,182320,601.7161716,22,0.855036414,5007530,273137991,54.54545275,752096800,227615,1.96,0.4025119,446125,302727912,678.5719518,0.84,0.1725051,191196,129740534,678.5734743,0.001333333,0.000323127,303,243022,802.0528053,22,0.855036414,5007530,273086089,54.53508796,0,0,0,-7.229E-09,0,1,0,-0.00354904,-8.07116E-05,0,-60702,-200.3366337,60702
48,744651700,225362,1.96,0.4025119,441710,299731171,678.5700369,0.84,0.1725051,189304,128456216,678.5710603,0.0013333,0.000242415,300,180515,601.7166667,22,0.855036414,4957964,270434164,54.54540695,744651700,225362,1.96,0.4025119,441709,299731171,678.5715731,0.84,0.1725051,189304,128456216,678.5710603,0.001333333,0.00031955,300,237954,793.18,22,0.855036414,4957964,270385052,54.53550127,0,1,0,-0.00153624,0,0,0,-5.11795E-09,-7.71354E-05,0,-57439,-191.4633333,57439
47,737280900,223131,1.96,0.4025119,437337,296764336,678.5712986,0.84,0.1725051,187430,127184715,678.5718135,0.0013333,0.000242415,298,178728,599.7583893,22,0.855036414,4908882,267757322,54.5454794,737280900,223131,1.96,0.4025119,437336,296764336,678.5728502,0.84,0.1725051,187430,127184715,678.5718135,0.001333333,0.000315974,298,232962,781.7516779,22,0.855036414,4908882,267710950,54.53603285,0,1,0,-0.001551566,0,0,0,2.29679E-08,-7.35592E-05,0,-54234,-181.9932886,54234
46,729981000,220922,1.96,0.4025119,433007,293826039,678.5711062,0.84,0.1725051,185574,125925445,678.5726718,0.0013333,0.000242415,295,176958,599.8576271,22,0.855036414,4860284,265106227,54.54541895,729981000,220922,1.96,0.4025119,433007,293826039,678.5711062,0.84,0.1725051,185574,125925445,678.5726718,0.001333333,0.000312398,295,228045,773.0338983,22,0.855036414,4860284,265062546,54.53643162,0,0,0,-4.0777E-08,0,0,0,-1.825E-08,-0.000069983,0,-51087,-173.1762712,51087
45,722755400,218735,1.96,0.4025119,428721,290917649,678.5710264,0.84,0.1725051,183737,124678993,678.5731399,0.0013333,0.000242415,292,175207,600.0239726,22,0.855036414,4812170,262482115,54.54547844,722755400,218735,1.96,0.4025119,428720,290917649,678.5726092,0.84,0.1725051,183737,124678993,678.5731399,0.001333333,0.000308822,292,223203,764.3938356,22,0.855036414,4812170,262441076,54.53695027,0,1,0,-0.001582762,0,0,0,3.1601E-08,-6.64068E-05,0,-47996,-164.369863,47996
44,715600700,216570,1.96,0.4025119,424477,288037797,678.5710345,0.84,0.1725051,181919,123444770,678.569968,0.0013333,0.000242415,289,173472,600.2491349,22,0.855036414,4764540,259883753,54.5454027,715600700,216570,1.96,0.4025119,424477,288037797,678.5710345,0.84,0.1725051,181918,123444770,678.573698,0.001333333,0.000305246,289,218434,755.8269896,22,0.855036414,4764540,259845309,54.53733393,0,0,0,2.69901E-08,0,1,0,-0.00373004,-6.28306E-05,0,-44962,-155.5778547,44962
43,708517000,214426,1.96,0.4025119,420275,285186524,678.5712307,0.84,0.1725051,180118,122222796,678.5706925,0.0013333,0.000242415,286,171755,600.541958,22,0.855036414,4717372,257311174,54.54544903,708517000,214426,1.96,0.4025119,420274,285186524,678.5728453,0.84,0.1725051,180117,122222796,678.5744599,0.001333333,0.000301669,286,213738,747.3356643,22,0.855036414,4717372,257275277,54.5378395,0,1,0,-0.001614634,0,1,0,-0.003767434,-5.92544E-05,0,-41983,-146.7937063,41983
42,701502600,212303,1.96,0.4025119,416114,282363144,678.571603,0.84,0.1725051,178335,121012776,678.5699722,0.0013333,0.000242415,283,170055,600.9010601,22,0.855036414,4670666,254763764,54.54548966,701502600,212303,1.96,0.4025119,416113,282363144,678.5732337,0.84,0.1725051,178334,121012776,678.5737773,0.001333333,0.000298093,283,209113,738.9151943,22,0.855036414,4670666,254730368,54.5383395,0,1,0,-0.001630713,0,1,0,-0.003805094,-5.56782E-05,0,-39058,-138.0141342,39058
41,694557500,210201,1.96,0.4025119,411994,279567659,678.5721612,0.84,0.1725051,176569,119814711,678.5716122,0.0013333,0.000242415,280,168371,601.325,22,0.855036414,4624422,252241521,54.54552396,694557500,210201,1.96,0.4025119,411993,279567659,678.5738083,0.84,0.1725051,176568,119814711,678.5754553,0.001333333,0.000294517,280,204559,730.5678571,22,0.855036414,4624422,252210579,54.53883296,0,1,0,-0.001647093,0,1,0,-0.003843149,-0.000052102,0,-36188,-129.2428571,36188
