All,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance
Month,Active_Accounts,Active_Accounts,Active_Accounts,Total_Inflows,Total_Inflows,Total_Inflows,ACHoutPerActive,ACHoutPerActive,ACHoutPerActive,ACHoutShare,ACHoutShare,ACHoutShare,ACHoutQuantity,ACHoutQuantity,ACHoutQuantity,ACHoutAmount_Model,ACHoutAmount_Model,ACHoutAmount_Model,ACHoutRate_Model,ACHoutRate_Model,ACHoutRate_Model,RTPoutPerActive,RTPoutPerActive,RTPoutPerActive,RTPoutShare,RTPoutShare,RTPoutShare,RTPoutQuantity,RTPoutQuantity,RTPoutQuantity,RTPoutAmount,RTPoutAmount,RTPoutAmount,RTPoutRate_Model,RTPoutRate_Model,RTPoutRate_Model,WireOutPerActive,WireOutPerActive,WireOutPerActive,WireOutShare,WireOutShare,WireOutShare,WireOutQuantity,WireOutQuantity,WireOutQuantity,WireOutAmount,WireOutAmount,WireOutAmount,WireOutRate,WireOutRate,WireOutRate,DebitCardTransactionsPerActive,DebitCardTransactionsPerActive,DebitCardTransactionsPerActive,DebitCardTransactionShare,DebitCardTransactionShare,DebitCardTransactionShare,DebitQuantity,DebitQuantity,DebitQuantity,DebitAmount,DebitAmount,DebitAmount,DebitRate,DebitRate,DebitRate
23,114166,114166, -   ,377269633.3,377269633, 0.33 ,1.96,1.96, -   ,0.402474692,0.4024746, 0.0000000917 ,223765,223765, -   ,151841479,151841445, 34.00 ,678.5756441,678.5754921, 0.00015199 ,0.84,0.84, -   ,0.172489142,0.1724896, (0.00000046),95899,95899, -   ,65074915,65075088, (173.00),678.5776181,678.5794221, (0.00180398),0.001333333,0.0013333, 0.00000003 ,0.000230145,0.000240499, (0.0000103536),152,152, -   ,86827,90733," (3,906.00)",571.2302632,596.9276316, (25.69736844),19.33333333,19.3333337, (0.00000037),0.854846496,0.85484649, 0.0000000055 ,2207209,2207209, -   ,137003181,136999722," 3,459.00 ",62.07077853,62.06921139, 0.00156714 
24,120000,120000, -   ,396544000,396544000, -   ,1.96,1.96, -   ,0.4024774,0.4024774, -   ,235200,235200, -   ,159599998,159600000, (2.00),678.5714201,678.5714286, (0.00000853),0.84,0.84, -   ,0.1724903,0.1724903, -   ,100800,100800, -   ,68399994,68400000, (6.00),678.571369,678.5714286, (0.00005955),0.001333333,0.0013333, 0.00000003 ,0.000242092,0.000242092, -   ,160,160, -   ,96000,96000, -   ,600,600, -   ,20,20, -   ,0.854863222,0.854863222, -   ,2400000,2400000, -   ,144000007,144000000, 7.00 ,60.00000292,60, 0.00000292 
25,126666,126666, -   ,418569000,418569000, -   ,1.96,1.96, -   ,0.402480275,0.4024803, (0.0000000250),248265,248265, -   ,168465766,168465777, (11.00),678.5723562,678.5724005, (0.00004435),0.84,0.84, -   ,0.172491533,0.1724915, 0.00000003 ,106399,106399, -   ,72199609,72199595, 14.00 ,678.5741313,678.5739998, 0.00013154 ,0.001333333,0.0013333, 0.00000003 ,0.000237298,0.000242119, (0.0000048212),169,169, -   ,99326,101344," (2,018.00)",587.7278107,599.6686391, (11.94082845),20.16666667,20.1666667, (0.00000003),0.854877655,0.854877655, (0.0000000003),2554431,2554431, -   ,152000922,151999200," 1,722.00 ",59.50480635,59.50413223, 0.00067412 
26,133333,133333, -   ,440597300,440597300, -   ,1.96,1.96, -   ,0.40248315,0.4024832, (0.0000000500),261332,261333, (1.00),177332989,177333011, (22.00),678.5735731,678.5710607, 0.00251238 ,0.84,0.84, -   ,0.172492767,0.1724927, 0.00000007 ,111999,112000, (1.00),75999847,75999818, 29.00 ,678.5761212,678.5698036, 0.00631762 ,0.001333333,0.0013333, 0.00000003 ,0.000240874,0.000242146, (0.0000012720),178,178, -   ,106128,106689, (561.00),596.2247191,599.3764045, (3.15168540),20.33333333,20.3333334, (0.00000007),0.854892087,0.854892088, (0.0000000007),2711104,2711104, -   ,160000181,159999707, 474.00 ,59.016615,59.01644017, 0.00017483 
27,140000,140000, -   ,462625600,462625600, -   ,1.96,1.96, -   ,0.402486025,0.4024861, (0.0000000750),274400,274400, -   ,186200339,186200374, (35.00),678.572664,678.5727915, (0.00012751),0.84,0.84, -   ,0.172494,0.1724939, 0.00000010 ,117600,117600, -   ,79800140,79800094, 46.00 ,678.572619,678.5722279, 0.00039115 ,0.001333333,0.0013333, 0.00000003 ,0.00024445,0.000242173, 0.0000022772 ,187,187, -   ,113089,112035," 1,054.00 ",604.7540107,599.1176471, 5.63636360 ,20.5,20.5000001, (0.00000010),0.85490652,0.854906521, (0.0000000010),2870000,2870000, -   ,167999417,168000328, (911.00),58.53638223,58.53669965, (0.00031742)
28,146666,146666, -   ,484648900,484648900, -   ,1.96,1.96, -   ,0.4024889,0.402489, (0.0000001000),287465,287465, -   ,195065803,195065851, (48.00),678.5723584,678.5725254, (0.00016703),0.84,0.84, -   ,0.172495233,0.1724951, 0.00000013 ,123199,123199, -   ,83599625,83599560, 65.00 ,678.5738926,678.573365, 0.00052765 ,0.001333333,0.0013333, 0.00000003 ,0.000248026,0.0002422, 0.0000058264 ,196,196, -   ,120206,117382," 2,824.00 ",613.2959184,598.8877551, 14.40816327 ,20.66666667,20.6666668, (0.00000013),0.854920953,0.854920954, (0.0000000013),3031097,3031097, -   ,175996819,175999249," (2,430.00)",58.06373699,58.06453868, (0.00080169)
29,153333,153333, -   ,506675500,506675500, -   ,1.96,1.96, -   ,0.402491775,0.4024919, (0.0000001250),300532,300533, (1.00),203932721,203932785, (64.00),678.5724016,678.5703567, 0.00204491 ,0.84,0.84, -   ,0.172496467,0.1724963, 0.00000017 ,128799,128800, (1.00),87399733,87399649, 84.00 ,678.574624,678.5687034, 0.00592063 ,0.001333333,0.0013333, 0.00000003 ,0.000251603,0.000242227, 0.0000093756 ,204,204, -   ,127481,122730," 4,751.00 ",624.9068627,601.6176471, 23.28921565 ,20.83333333,20.8333335, (0.00000017),0.854935385,0.854935387, (0.0000000017),3194437,3194438, (1.00),183995402,183999481," (4,079.00)",57.59869486,57.59995373, (0.00125887)
30,160000,160000, -   ,528702100,528702100, -   ,1.96,1.96, -   ,0.40249465,0.4024948, (0.0000001500),313600,313600, -   ,212799767,212799846, (79.00),678.5706856,678.5709375, (0.00025191),0.84,0.84, -   ,0.1724977,0.1724975, 0.00000020 ,134400,134400, -   ,91199896,91199790, 106.00 ,678.5706548,678.5698661, 0.00078866 ,0.001333333,0.0013333, 0.00000003 ,0.000255179,0.000242254, 0.0000129248 ,213,213, -   ,134914,128080," 6,834.00 ",633.399061,601.314554, 32.08450703 ,21,21.0000002, (0.00000020),0.854949818,0.85494982, (0.0000000020),3360000,3360000, -   ,191993963,191999829," (5,866.00)",57.14106042,57.14280625, (0.00174583)
31,166666,166666, -   ,550725400,550725400, -   ,1.96,1.96, -   ,0.402497525,0.4024977, (0.0000001750),326665,326665, -   ,221665610,221665707, (97.00),678.571656,678.5719529, (0.00029692),0.84,0.84, -   ,0.172498933,0.1724987, 0.00000023 ,139999,139999, -   ,94999544,94999416, 128.00 ,678.5730184,678.5721041, 0.00091428 ,0.001333333,0.0013333, 0.00000003 ,0.000258755,0.000242281, 0.0000164740 ,222,222, -   ,142503,133430," 9,073.00 ",641.9054054,601.036036, 40.86936941 ,21.16666667,21.1666669, (0.00000023),0.854964251,0.854964253, (0.0000000023),3527763,3527764, (1.00),199991308,199999092," (7,784.00)",56.69068699,56.69287741, (0.00219042)
32,173333,173333, -   ,572752000,572752000, -   ,1.96,1.96, -   ,0.4025004,0.4025006, (0.0000002000),339732,339733, (1.00),230532909,230533024, (115.00),678.5728427,678.5711838, 0.00165891 ,0.84,0.84, -   ,0.172500167,0.1724999, 0.00000027 ,145599,145600, (1.00),98799815,98799663, 152.00 ,678.5748185,678.569114, 0.00570451 ,0.001333333,0.0013333, 0.00000003 ,0.000262331,0.000242308, 0.0000200232 ,231,231, -   ,150251,138782," 11,469.00 ",650.4372294,600.7878788, 49.64935064 ,21.33333333,21.3333336, (0.00000027),0.854978683,0.854978686, (0.0000000027),3697770,3697771, (1.00),207989831,207999669," (9,838.00)",56.24736828,56.25001359, (0.00264531)
