Month	Total_Inflows	Active_Accounts	ACHoutPerActive	ACHoutShare	ACHoutQuantity	ACHoutAmount	ACHoutRate	PQ_ACHoutPerActive	PQ_ACHoutShare	PQ_ACHoutQuantity	PQ_ACHoutAmount	PQ_ACHoutRate	Delta_ACH_Share	Delta_ACH_Qty	Delta_ACH_Amt	Delta_ACH_Rate	RTPoutPerActive	RTPoutShare	RTPoutQuantity	RTPoutAmount	RTPoutRate	PQ_RTPoutPerActive	PQ_RTPoutShare	PQ_RTPoutQuantity	PQ_RTPoutAmount	PQ_RTPoutRate	Delta_RTP_Share	Delta_RTP_Qty	Delta_RTP_Amt	Delta_RTP_Rate	WireOutPerActive	WireOutShare	WireOutQuantity	WireOutAmount	WireOutRate	PQ_WireOutPerActive	PQ_WireOutShare	PQ_WireOutQuantity	PQ_WireOutAmount	PQ_WireOutRate	Delta_Wire_Share	Delta_Wire_Qty	Delta_Wire_Amt	Delta_Wire_Rate	Ref_WireOutRate_Recalc	PQ_WireOutRate_Recalc	DebitCardTransactionsPerActive	DebitCardTransactionShare	DebitCardTransactionsQuantity	DebitCardTransactionAmount	DebitCardTransactionRate	PQ_DebitPerActive	PQ_DebitShare	PQ_DebitQuantity	PQ_DebitAmount	PQ_DebitRate
21	338723550	102500	1.96	0.4024692	200900	136325796	678.5753907	1.96	0.402469275	200900	136325822	678.5755202	-7.5E-08	0	-26	-0.000129459	0.84	0.1724872	86100	58425477	678.5769686	0.84	0.172486825	86100	58425350	678.5754936	3.75E-07	0	127	0.001474988	0.0013333	0.000237319	137	80386	586.7591241	0.001333333	0.000222993	137	75533	551.3357664	1.4326E-05	0	4853	35.42335768	586.7591241	551.3357664	18.0000003	0.854813038	1845000	123000664	66.66702656	18	0.854813043	1845000	123004900	66.66932249
22	357997233	108333	1.96	0.4024719	212333	144083827	678.5748188	1.96	0.402471983	212332	144083857	678.5781559	-8.33333E-08	1	-30	-0.003337107	0.84	0.1724884	91000	61750370	678.5754945	0.84	0.172487983	90999	61750221	678.5813141	4.16667E-07	1	149	-0.00581958	0.0013333	0.000238909	144	85529	593.9513889	0.001333333	0.000226569	144	81111	563.2708333	1.23398E-05	0	4418	30.68055557	593.9513889	563.2708333	18.666667	0.854829764	2022216	130000379	64.28609951	18.66666667	0.854829769	2022216	130004259	64.28801819
23	377269633	114166	1.96	0.4024746	223765	151841445	678.5754921	1.96	0.402474692	223765	151841479	678.5756441	-9.16667E-08	0	-34	-0.000151991	0.84	0.1724896	95899	65075088	678.5794221	0.84	0.172489142	95899	65074915	678.5776181	4.58333E-07	0	173	0.001803981	0.0013333	0.000240499	152	90733	596.9276316	0.001333333	0.000230145	152	86827	571.2302632	1.03536E-05	0	3906	25.69736844	596.9276316	571.2302632	19.3333337	0.85484649	2207209	136999722	62.06921139	19.33333333	0.854846496	2207209	137003181	62.07077853
24	396544000	120000	1.96	0.4024774	235200	159600000	678.5714286	1.96	0.4024774	235200	159599998	678.5714201	0	0	2	8.53197E-06	0.84	0.1724903	100800	68400000	678.5714286	0.84	0.1724903	100800	68399994	678.571369	0	0	6	5.95524E-05	0.0013333	0.000242092	160	96000	600	0.001333333	0.000242092	160	96000	600	0	0	0	0	600	600	20	0.854863222	2400000	144000000	60	20	0.854863222	2400000	144000007	60.00000292
25	418569000	126666	1.96	0.4024803	248265	168465777	678.5724005	1.96	0.402480275	248265	168465766	678.5723562	2.5E-08	0	11	4.43483E-05	0.84	0.1724915	106399	72199595	678.5739998	0.84	0.172491533	106399	72199609	678.5741313	-3.33333E-08	0	-14	-0.000131536	0.0013333	0.000242119	169	101344	599.6686391	0.001333333	0.000237298	169	99326	587.7278107	4.8212E-06	0	2018	11.94082845	599.6686391	587.7278107	20.1666667	0.854877655	2554431	151999200	59.50413223	20.16666667	0.854877655	2554431	152000922	59.50480635
26	440597300	133333	1.96	0.4024832	261333	177333011	678.5710607	1.96	0.40248315	261332	177332989	678.5735731	5.0E-08	1	22	-0.002512379	0.84	0.1724927	112000	75999818	678.5698036	0.84	0.172492767	111999	75999847	678.5761212	-6.66667E-08	1	-29	-0.006317615	0.0013333	0.000242146	178	106689	599.3764045	0.001333333	0.000240874	178	106128	596.2247191	1.272E-06	0	561	3.151685399	599.3764045	596.2247191	20.3333334	0.854892088	2711104	159999707	59.01644017	20.33333333	0.854892087	2711104	160000181	59.016615
27	462625600	140000	1.96	0.4024861	274400	186200374	678.5727915	1.96	0.402486025	274400	186200339	678.572664	7.5E-08	0	35	0.000127506	0.84	0.1724939	117600	79800094	678.5722279	0.84	0.172494	117600	79800140	678.572619	-1.0E-07	0	-46	-0.000391148	0.0013333	0.000242173	187	112035	599.1176471	0.001333333	0.00024445	187	113089	604.7540107	-2.2772E-06	0	-1054	-5.636363595	599.1176471	604.7540107	20.5000001	0.854906521	2870000	168000328	58.53669965	20.5	0.85490652	2870000	167999417	58.53638223
28	484648900	146666	1.96	0.402489	287465	195065851	678.5725254	1.96	0.4024889	287465	195065803	678.5723584	1.0E-07	0	48	0.000167026	0.84	0.1724951	123199	83599560	678.573365	0.84	0.172495233	123199	83599625	678.5738926	-1.33333E-07	0	-65	-0.000527645	0.0013333	0.0002422	196	117382	598.8877551	0.001333333	0.000248026	196	120206	613.2959184	-5.8264E-06	0	-2824	-14.40816327	598.8877551	613.2959184	20.6666668	0.854920954	3031097	175999249	58.06453868	20.66666667	0.854920953	3031097	175996819	58.06373699
29	506675500	153333	1.96	0.4024919	300533	203932785	678.5703567	1.96	0.402491775	300532	203932721	678.5724016	1.25E-07	1	64	-0.002044908	0.84	0.1724963	128800	87399649	678.5687034	0.84	0.172496467	128799	87399733	678.574624	-1.66667E-07	1	-84	-0.005920627	0.0013333	0.000242227	204	122730	601.6176471	0.001333333	0.000251603	204	127481	624.9068627	-9.3756E-06	0	-4751	-23.28921565	601.6176471	624.9068627	20.8333335	0.854935387	3194438	183999481	57.59995373	20.83333333	0.854935385	3194437	183995402	57.59869486
30	528702100	160000	1.96	0.4024948	313600	212799846	678.5709375	1.96	0.40249465	313600	212799767	678.5706856	1.5E-07	0	79	0.000251913	0.84	0.1724975	134400	91199790	678.5698661	0.84	0.1724977	134400	91199896	678.5706548	-2.0E-07	0	-106	-0.000788662	0.0013333	0.000242254	213	128080	601.314554	0.001333333	0.000255179	213	134914	633.399061	-1.29248E-05	0	-6834	-32.08450703	601.314554	633.399061	21.0000002	0.85494982	3360000	191999829	57.14280625	21	0.854949818	3360000	191993963	57.14106042
31	550725400	166666	1.96	0.4024977	326665	221665707	678.5719529	1.96	0.402497525	326665	221665610	678.571656	1.75E-07	0	97	0.000296922	0.84	0.1724987	139999	94999416	678.5721041	0.84	0.172498933	139999	94999544	678.5730184	-2.33333E-07	0	-128	-0.000914279	0.0013333	0.000242281	222	133430	601.036036	0.001333333	0.000258755	222	142503	641.9054054	-1.6474E-05	0	-9073	-40.86936941	601.036036	641.9054054	21.1666669	0.854964253	3527764	199999092	56.69287741	21.16666667	0.854964251	3527763	199991308	56.69068699
32	572752000	173333	1.96	0.4025006	339733	230533024	678.5711838	1.96	0.4025004	339732	230532909	678.5728427	2.0E-07	1	115	-0.001658911	0.84	0.1724999	145600	98799663	678.569114	0.84	0.172500167	145599	98799815	678.5748185	-2.66667E-07	1	-152	-0.005704508	0.0013333	0.000242308	231	138782	600.7878788	0.001333333	0.000262331	231	150251	650.4372294	-2.00232E-05	0	-11469	-49.64935064	600.7878788	650.4372294	21.3333336	0.854978686	3697771	207999669	56.25001359	21.33333333	0.854978683	3697770	207989831	56.24736828
33	594778600	180000	1.96	0.4025035	352800	239400468	678.5727551	1.96	0.402503275	352800	239400334	678.5723753	2.25E-07	0	134	0.000379817	0.84	0.1725011	151200	102599963	678.5711839	0.84	0.1725014	151200	102600141	678.5723611	-3.0E-07	0	-178	-0.001177211	0.0013333	0.000242335	240	144136	600.5666667	0.001333333	0.000265907	240	158156	658.9833333	-2.35724E-05	0	-14020	-58.41666663	600.5666667	658.9833333	21.5000003	0.854993119	3870000	216000360	55.81404651	21.5	0.854993116	3870000	215988334	55.81093902
34	616800200	186666	1.96	0.4025064	365865	248266028	678.5727741	1.96	0.40250615	365865	248265874	678.5723532	2.5E-07	0	154	0.00042091	0.84	0.1725023	156799	106399453	678.5722677	0.84	0.172502633	156799	106399659	678.5735815	-3.33333E-07	0	-206	-0.001313764	0.0013333	0.000242362	249	149489	600.3574297	0.001333333	0.000269484	249	166218	667.5421687	-2.71216E-05	0	-16729	-67.18473897	600.3574297	667.5421687	21.666667	0.855007552	4044430	223999350	55.38465247	21.66666667	0.855007549	4044430	223985001	55.38110463
35	638825100	193333	1.96	0.4025093	378933	257133044	678.5712619	1.96	0.402509025	378932	257132868	678.5725882	2.75E-07	1	176	-0.001326322	0.84	0.1725035	162400	110199566	678.5687562	0.84	0.172503867	162399	110199800	678.5743755	-3.66667E-07	1	-234	-0.005619258	0.0013333	0.000242389	258	154844	600.1705426	0.001333333	0.00027306	258	174437	676.1124031	-3.06708E-05	0	-19593	-75.9418605	600.1705426	676.1124031	21.8333337	0.855021985	4221104	231999653	54.96184245	21.83333333	0.855021981	4221103	231982850	54.95787475
36	660850000	200000	1.96	0.4025119	392000	266000000	678.5714286	1.96	0.4025119	392000	265999989	678.5714005	0	0	11	2.80898E-05	0.84	0.1725051	168000	114000000	678.5714286	0.84	0.1725051	168000	113999995	678.5713988	0	0	5	2.97905E-05	0.0013333	0.000242415	267	160200	600	0.001333333	0.000242415	267	160200	600	0	0	0	0	600	600	22	0.855036414	4400000	240000000	54.54545455	22	0.855036414	4400000	240000014	54.54545773
37	667458500	202000	1.96	0.4025119	395920	268659989	678.5714008	1.96	0.4025119	395920	268659989	678.5714008	0	0	0	1.1962E-08	0.84	0.1725051	169680	115139995	678.5713991	0.84	0.1725051	169680	115139995	678.5713991	0	0	0	-4.19595E-09	0.0013333	0.000242415	269	161802	601.4944238	0.001333333	0.000280212	269	187030	695.2788104	-3.77972E-05	0	-25228	-93.78438661	601.4944238	695.2788104	22	0.855036414	4444000	242400014	54.5454577	22	0.855036414	4444000	242378443	54.54060374
38	674133000	204020	1.96	0.4025119	399879	271346555	678.5716554	1.96	0.4025119	399879	271346555	678.5716554	0	0	0	-2.5766E-08	0.84	0.1725051	171377	116291381	678.5705258	0.84	0.1725051	171376	116291381	678.5744853	0	1	0	-0.003959542	0.0013333	0.000242415	272	163420	600.8088235	0.001333333	0.000283788	272	191311	703.3492647	-4.13734E-05	0	-27891	-102.5404412	600.8088235	703.3492647	22	0.855036414	4488440	244823982	54.54545054	22	0.855036414	4488440	244800134	54.54013733
39	680873500	206060	1.96	0.4025119	403878	274059686	678.5704743	1.96	0.4025119	403877	274059686	678.5721544	0	1	0	-0.001680094	0.84	0.1725051	173090	117454151	678.5727136	0.84	0.1725051	173090	117454151	678.5727136	0	0	0	-1.7193E-08	0.0013333	0.000242415	275	165054	600.1963636	0.001333333	0.000287365	275	195659	711.4872727	-4.49496E-05	0	-30605	-111.2909091	600.1963636	711.4872727	22	0.855036414	4533320	247271921	54.54543712	22	0.855036414	4533320	247245753	54.53966475
